elapsed_seconds,ram_mb,disk_mb
0.0002753734588623047,38.31640625,0.7332735061645508
1.0747568607330322,54.97265625,0.7332735061645508
2.078176975250244,57.1484375,1.1120166778564453
3.0859155654907227,58.890625,1.1771907806396484
4.09698748588562,59.91015625,1.2901477813720703
5.116748332977295,60.78515625,1.2904462814331055
6.1393303871154785,65.41015625,1.3081741333007812
7.158038139343262,60.6875,1.3901424407958984
8.190459489822388,61.3125,1.3901424407958984
9.237079620361328,61.4375,1.3901424407958984
10.760634422302246,70.5625,4.162232398986816
12.165351629257202,80.6875,11.396613121032715
13.399815559387207,80.6875,8.755538940429688
